"chain","alg","ess0","ess1"
1,"mh",169.081129988684,56.0799638158453
2,"mh",169.081129988684,56.0799638158453
3,"mh",36.8039375446457,21.9717540456623
4,"mh",169.081129988684,56.0799638158453
5,"mh",35.9787047797989,16.3548843352154
1,"hm",272.541684461764,58.8496167917595
2,"hm",1041.40596597377,245.518391828202
3,"hm",1000,223.546361915241
4,"hm",1000,248.204093517774
5,"hm",1078.48301608385,348.481059180947
1,"rej",1000,1000
2,"rej",1000,1000
3,"rej",1000,1000
4,"rej",1000,1000
5,"rej",1000,1000
