"chain","alg","ess0","ess1","ess2","ess3","ess4","ess5","ess6","ess7","ess8","ess9","ess10"
"1","mh","596.431941466438","978.412108406376","708.909524639597","861.195855587818","1000","1000","1000","927.573164719368","1000","1000","1000"
"2","mh","596.431941466438","978.412108406376","708.909524639597","861.195855587818","1000","1000","1000","927.573164719368","1000","1000","1000"
"3","mh","596.431941466438","978.412108406376","708.909524639597","861.195855587818","1000","1000","1000","927.573164719368","1000","1000","1000"
"4","mh","596.431941466438","978.412108406376","708.909524639597","861.195855587818","1000","1000","1000","927.573164719368","1000","1000","1000"
"5","mh","596.431941466438","978.412108406376","708.909524639597","861.195855587818","1000","1000","1000","927.573164719368","1000","1000","1000"
"1","hm","436.907447534622","1000","801.219313576943","873.264300294716","727.179731444089","1000","475.963956618287","831.019795226165","960.903536791048","1302.53498774618","393.46916094967"
"2","hm","436.907447534622","1000","801.219313576943","873.264300294716","727.179731444089","1000","475.963956618287","831.019795226165","960.903536791048","1302.53498774618","393.46916094967"
"3","hm","436.907447534622","1000","801.219313576943","873.264300294716","727.179731444089","1000","475.963956618287","831.019795226165","960.903536791048","1302.53498774618","393.46916094967"
"4","hm","436.907447534622","1000","801.219313576943","873.264300294716","727.179731444089","1000","475.963956618287","831.019795226165","960.903536791048","1302.53498774618","393.46916094967"
"5","hm","436.907447534622","1000","801.219313576943","873.264300294716","727.179731444089","1000","475.963956618287","831.019795226165","960.903536791048","1302.53498774618","393.46916094967"
